hindi,phon
उपाधि,u p aa dh i
उपाध्यक्ष,u p aa dh y a k sh a
उपाय,u p aa y
उपासक,u p aa s a k
उपासना,u p aa s n aa
उपाहार,u p aa h aa r
उपेक्षा,u p e k sh aa
उफनना,u ph a n n aa
उफान,u ph aa n
उबटन,u b tt a n
उबलना,u b a l n aa
उबाना,u b aa n aa
उबारना,u b aa r n aa
उबाल,u b aa l
उबालना,u b aa l n aa
उमंग,u m a ng g
उमड़ना,u m a rr n aa
उमर,u m a r
उमस,u m a s
उमेठना,u m e tth n aa
उम्मीद,u m m ii d
उम्मीदवार,u m m ii d v aa r
उम्मीदवारी,u m m ii d v aa r ii
उम्र,u m r a
उरद,u r a d
उर्वर,u r v a r
उर्वरता,u r v a r t aa
उलझन,u l jh a n
उलझना,u l a jh n aa
उलझाना,u l jh aa n aa
उलझाव,u l jh aa v
उलटना,u l a tt n aa
उलट-पलट,u l a tt p a l a tt
उलटा,u l tt aa
उलटा-पुलटा,u l tt aa p u l tt aa
उलटा-सीधा,u l tt aa s ii dh aa
उलटी,u l tt ii
उलटे,u l tt e
उलहना,u l a h n aa
उलीचना,u l ii c n aa
उल्लंघन,u l l a ng gh a n
उल्लास,u l l aa s
उल्लिखित,u l l i kh i t
उल्लू,u l l uu
उल्लेख,u l l e kh
उल्लेखनीय,u l l e kh n ii y
उष्ण,u sh n a
उष्णता,u sh n a t aa
उस,u s
उसास,u s aa s
उसी,u s ii
उसूल,u s uu l
उसे,u s e
उस्तरा,u s t a rr aa
उस्ताद,u s t aa d
ऊँख,uu kh
ऊखल,uu kh a l
ऊधम,uu dh a m
ऊधमी,uu dh m ii
ऊन,uu n
ऊनी,uu n ii
ऊपर,uu p a r
ऊपर-तले,uu p a r t a l e
ऊपरी,uu p r ii
ऊब,uu b
ऊबड़-खाबड़,uu b a rr kh aa b a rr
ऊबना,uu b n aa
ऊल-जलूल,uu l j a l uu l
ऊषा,uu sh aa
ऊसर,uu s a r
ऋण,r i n
ऋणग्रस्त,r i n g r a s t a
ऋणमुक्त,r i n m u k t a
ऋणी,r i n ii
ऋतु,r i t u
ऋषि,r i sh i
एक,e k
एकचित्त,e k c i t t a
एकजुट,e k j u tt
एकटक,e k tt a k
एकड़,e k a rr
एकतरफा,e k t a r f aa
एकतल्ला,e k t a l l aa
एकता,e k t aa
एकतारा,e k t aa r aa
एकत्र,e k a t r a
एकदम,e k d a m
एकपक्षीय,e k p a k sh ii y
एकबारगी,e k b aa r g ii
एकमंजिला,e k m a n z i l aa
एकमत,e k m a t
एकमात्र,e k m aa t r
एकराय,e k r aa y
एकरूप,e k r uu p
एकरूपता,e k r uu p t aa
एकवचन,e k v a c a n
एकसमान,e k s a m aa n
एकहरा,e k a h r aa
एकांकी,e k aa ~ k ii
एकांगी,e k aa ng g ii
एकांत,e k aa n t
एकांतवास,e k aa n t v aa s
एका,e k aa
एकाउंट,e k aa u n tt
एकाउंटेंट,e k aa u n tt e n tt
एकाएक,e k aa e k
एकाग्र,e k aa g r a
एक्का,e k k aa
एकादशी,e k aa d sh ii
एकाध,e k aa dh
एकाधिकार,e k aa dh i k aa r
एक्सप्रेस,e k s p r e s
एक्स-रे,e k s r e
एजंट,e j a n tt
एजंसी,e j a n s ii
एटम,e tt a m
एटमी,e tt a m ii
एडवोकेट,e dd v o k e tt
एड़ी,e rr ii
एडीटर,e d ii tt a r
एतबार,e t b aa r
एतराज,e t r aa z
एलान,e l aa n
एवज,e v a z
एवजी,e v z ii
एसिड,e s i dd
एहसान,e h s aa n
एहसानमंद,e h s aa n m a n d
एहसास,e h s aa s
ऐं,E
ऐंचाताना,E c aa t aa n aa
ऐंचातानी,E c aa t aa n ii
ऐंठ,E tth
ऐंठन,E tth a n
ऐंठना,E tth n aa
ऐक्टर,E k tt a r
ऐच्छिक,E c ch i k
ऐटम,E tt a m
ऐटलस,E t l a s
ऐडवोकेट,E dd v o k e tt
ऐतिहासिक,E t i h aa s i k
ऐन,E n
ऐनक,E n a k
ऐब,E b
ऐयाश,E y aa sh
ऐयाशी,E y aa sh ii
ऐरा-गैरा,E r aa Gh E r aa
ऐश,E sh
ऐसा,E s aa
ऐसा-वैसा,E s aa v E s aa
ऐसे,E s e
ओखली,o kh l ii
ओछा,o ch aa
ओछापन,o ch aa p a n
ओझल,o jh a l
ओट,o tt
ओटना,o tt n aa
ओढ़ना,o rrh n aa
ओढ़नी,o rrh n ii
ओर,o r
ओर-छोर,o r ch o r
ओला,o l aa
ओवरकोट,o v a r k o tt
ओवरहाल,o v a r h aa l
ओस,o s
ओह,o h
ओहदा,o h d aa
ओहदेदार,o h d e d aa r
ओहो,o h o
औकात,O q aa t
औजार,O z aa r
औटाना,O tt aa n aa
औद्योगिक,O d y o g i k
औना-पौना,O n aa p O n aa
औपचारिक,O p c aa r i k
और,O r
औरत,O r a t
औषध,O sh a dh
औषधालय,O sh a dh aa l a y
औषधि,O sh a dh i
औसत,O s a t
औसतन,O s t a n
कंकड़,k a ~ k a rr
कंगन,k a ng g a n
कंगाल,k a ng g aa l
कंगाली,k a ~ g aa l ii
कंघी,k a ng gh ii
कंजूस,k a n j uu s
कंजूसी,k a n j uu s ii
कँटीला,k a ~ tt ii l aa
कँट्रोल,k a n tt r o l
कंठ,k a n tth
कंडक्टर,k a n dd a k tt a r
कंधा,k a n dh aa
कँपकँपी,k a ~ p k a ~ p ii
कंपनी,k a m p a n ii
कंपाउंडर,k a m p aa u n dd a r
कई,k Ei
कंबल,k a m b a l
ककड़ी,k a k rr ii
कक्षा,k a k sh aa
कचहरी,k a c a h r ii
कचौड़ी,k a c O rr ii
कच्चा,k a c c aa
कछुआ,k a ch u aa
कटना,k a tt n aa
कटवाना,k a tt v aa n aa
कटहल,k a tt h a l
कटाई,k a tt E
कटु,k a tt u
कटुता,k a tt u t aa
कटोरा,k a tt o r aa
कट्टर,k a tt tt a r
कट्टरता,k a tt tt a r t aa
कठपुतली,k a tth p u t l ii
कठफोड़ा,k a tth ph o rr a
कठिन,k a tth i n
कठिनता,k a tth i n t aa
कठोर,k a tth o r
कठोरता,k a tth o r t aa
कड़क,k a rr a k
कड़कना,k a rr a k n aa
कड़वा,k a rr v aa
कड़ा,k a rr aa
कड़ा,k a rr aa
कड़ाई,k a rr E
कड़ाका,k a rr aa k aa
कड़ाह,k a rr aa h
कड़ाही,k a rr aa h ii
कड़ी,k a rr ii
कड़ुआ,k a rr u aa
कढ़ाई,k a rrh E
कढ़ी,k a rrh ii
कण,k a n
कतरन,k a t r a n
कतरना,k a t a r n aa
कतराना,k a t r aa n aa
क़तार,q a t aa r
क़त्ल,q a t l
कथा,k a th aa
क़द,q a d
क़दम,q a d a m
क़दर,q a d a r
कदाचित्,k a d aa c i t
कदापि,k a d aa p i
कद्दू,k a d d uu
कन-,k a n 
कनकटा,k a n k a tt aa
कनखी,k a n kh ii
कनपटी,k a n p a tt ii
कनस्तर,k a n a s t a r
कनिष्ठ,k a n i sh tth a
कनी,k a n ii
कन्ना,k a n n aa
कन्नी,k a n n ii
कन्या,k a n y aa
कप,k a p
कपट,k a p a tt
कपटी,k a p tt ii
कपड़ा,k a p rr aa
कपाट,k a p aa tt
कपाल,k a p aa l
कपास,k a p aa s
कपूत,k a p uu t
कप्तान,k a p t aa n
कप्तानी,k a p t aa n ii
कफ़,k a ph
कफ,k a f
कफ़न,k a f a n
कब,k a b
कबड्डी,k a b a dd dd ii
कबाब,k a b aa b
कबीला,k a b ii l aa
कबूतर,k a b uu t a r
कबूतर-खाना,k a b uu t a r x aa n aa
क़बूल,q a b uu l
क़बूलना,q a b uu l n aa
क़ब्ज़,q a b z
क़ब्ज़ा,q a b z aa
क़ब्र,q a b r
क़ब्रिस्तान,q a b r i s t aa n
कभी,k a bh ii
कम,k a m
कम-अक़्ल,k a m a q l
कम-क़ीमत,k a m q ii m a t
कम-उम्र,k a m u m r
कम-खर्च,k a m kh a r c
कमजोर,k a m z o r
कमजोरी,k a m z o r ii
कमर,k a m a r
कमरतोड़,k a m a r t o rr
कमरबंद,k a m a r b a n d
कमरा,k a m r aa
कमल,k a m a l
कमांडर,k a m aa n dd a r
कमाई,k a m E
कमाऊ,k a m O
कमान,k a m aa n
कमान,k a m aa n
कमाना,k a m aa n aa
कमाल,k a m aa l
कमिश्नर,k a m i sh n a r
कमी,k a m ii
क़मीज़,q a m ii z
कमीना,k a m ii n aa
कमीनापन,k a m ii n aa p a n
कमीशन,k a m ii sh a n
कमेटी,k a m e tt ii
कम्यूनिस्ट,k a m y uu n i s tt
कर,k a r
करतूत,k a r t uu t
करना,k a r n aa
करनी,k a r n ii
करनेवाला,k a r n e v aa l aa
करफ़्यू,k a r f y uu
करम,k a r a m
करमुक्त,k a r m u k t a
करयोग्य,k a r y o g y a
करवट,k a r v a tt
करवाना,k a r v aa n aa
कराना,k a r aa n aa
क़रार,q a r aa r
कराह,k a r aa h
कराहना,k a r aa h n aa
क़रीब,q a r ii b
करुणा,k a r u n aa
करेला,k a r e l aa
करोड़,k a r o rr
करोड़पति,k a r o rr p a t i
कर्कश,k a r k a sh
कर्ज,q a r z
कर्जदार,q a r z d a r
कर्त्तव्य,k a r t a v y a
कर्त्तव्य-पालन,k a r t a v y a p aa l a n
कर्ता,k a r t aa
कर्नल,k a r n a l
कर्फ़्यू,k a r f y uu
कर्म,k a r m a
कर्मचारी,k a r m a c aa r ii
कलंक,k a l a ~ k
कलंकित,k a l a ~ k i t
कल,k a l
कल,k a l
कल,k a l
क़लई,q a l Ei
कल-कल,k a l k a l
कलक्टर,k a l a k tt a r
कलछी,k a l ch ii
कल-पुर्जे,k a l p u r z e
कल़फ,k a l a f
क़लम,q a l a m
कलम,k a l a m
कलमा,k a l m aa
कलसा,k a l s aa
कला,k a l aa
कलाई,k a l E
कलाकार,k a l aa k aa r
कलाबाजी,k a l aa b aa z ii
कली,k a l ii
कलेंडर,k a l e n dd a r
कलेक्टर,k a l e k tt a r
कलेजा,k a l e j aa
कलेवा,k a l e v aa
कलोल,k a l o l
कल्पना,k a l p a n aa
कल्प्त,k a l p i t
कल्याण,k a l y aa n
कल्याणकारी,k a l y aa n k aa r ii
कवर,k a v a r
कवि,k a v i
कविता,k a v i t aa
क़व्वाली,q a v v aa l ii
कश,k a sh
कश्ती,k a sh t ii
कष्ट,k a sh tt a
कसक,k a s a k
कसना,k a s n aa
क़सम,q a s a m
कसर,k a s a r
कसरत,k a s r a t
क़साई,q a s E
कसा-कसाया,k a s aa k a s aa y aa
क़सूर,q a s uu r
क़सूरवार,q a s uu r v aa r
कसैला,k a s E l aa
कसौटी,k a s O tt ii
कस्टम,k a s tt a m
कस्तूरी,k a s t uu r ii
क़स्वा,q a s b aa
क़हक़हा,q a h q a h aa
कहना,k a h n aa
कहलवाना,k a h l v aa n aa
कहा,k a h aa
कहा-सुना,k a h aa s u n aa
कहा-सुनी,k a h aa s u n ii
कहानी,k a h aa n ii
कहार,k a h aa r
कहावत,k a h aa v a t
कांग्रेस,k aa ng g r e s
कांस्टेबल,k aa n s tt e b a l
का,k aa
काई,k E
काउंटर,k aa u n tt a r
काका,k aa k aa
काग़ज,k aa Gh a z
काग़ज-पत्र,k aa Gh a z p a t r a
काग़जी,k aa Gh z ii
काजल,k aa j a l
काजू,k aa j uu
काट,k aa tt
काटना,k aa tt n aa
काटा,k aa tt aa
काठ,k aa tth
काठी,k aa tth ii
काढ़ना,k aa rrh n aa
कातना,k aa t n aa
कातिक,k aa t i k
कान,k aa n
काना,k aa n aa
क़ानून,q aa n uu n
क़ानूनी,q aa n uu n ii
कानफ्रेस,k aa n f r e n s
कापी,k aa p ii
कौफ़ी,k a f ii
काफ़ी,k aa f ii
काफ़ूर,k a f uu r
क़ाबिल,q aa b i l
क़ाबू,q aa b uu
काम,k aa m
कामकाज,k aa m k aa j
कामचलाऊ,k aa m c a l O
कामचोर,k aa m c o r
काम-धंधा,k aa m dh a n dh aa
कामना,k aa m n aa
कामयाब,k aa m y aa b
कामयाबी,k aa m y aa b ii
क़ायदा,q aa y d aa
क़ायम,q aa y a m
कायर,k aa y a r
कायरता,k aa y a r t aa
काया,k aa y aa
कार,k aa r
-कार,
कारख़ाना,k aa r x aa n aa
कारख़ानेदार,k aa r x aa n e d aa r
कारगर,k aa r g a r
कारण,k aa r a n
कारतूस,k aa r t uu s
कारबन,k aa r b a n
कारबार,k aa r b aa r
काररवाई,
कारागर,k aa r aa g aa r
कारावास,k aa r aa v aa s
कारीगर,k aa r ii g a r
कारीगरी,k aa r ii g a r ii
कारोबार,k aa r o b aa r
कार्क,k aa r k
कार्टून,k aa r tt uu n
कार्टूनकार,k aa r tt uu n k aa r
कार्ड,k aa r d
कार्बन,k aa r b a n
कार्य,k aa r y a
कार्यकर्ता,k aa r y a k a r t aa
कार्यकारिणी,k aa r y a k aa r i n ii
कार्यकाल,k aa r y a k aa l
कार्यक्रम,k aa r y a k r a m
कार्यवाही,k aa r y a v aa h ii
कार्यसमिति,k aa r y a s a m i t i
कार्यालय,k aa r y aa l a y
कार्रवाई,k a r r a v E
काल,k aa l
कालकोठरी,k aa l k o tth r ii
कालम,k aa l a m
कालर,k aa l a r
कालरा,k aa l r aa
काला,k aa l aa
कालावधि,k aa l aa v dh i
कालिख,k aa l i kh
कालीन,k aa l ii n
कालेज,k aa l e j
कालोनी,k aa l o n ii
काल्पनिक,k aa l p a n i k
काव्य,k aa v y a
काश,k aa sh
काशीफल,k aa sh ii ph a l
काश्त,k aa sh t
काश्तकार,k aa sh t k aa r
काश्तकारी,k aa sh t k aa r ii
काष्ठ,k aa sh tth a
किंतु,k i n t u
कि,k i
किचकिच,k i c k i c
किचपिच,k i c p i c
किटकिटाना,k i tt k i tt aa n aa
कितना,k i t n aa
कितने,k i t n e
किताब,k i t aa b
किताबी,k i t aa b ii
किधर,k i dh a r
किन,k i n
किनारा,k i n aa r aa
किफ़ायत,k i f aa y a t
किफ़ायती,k i f aa y t ii
किया,k i y aa
किरकिरा,k i r k i r aa
किरण,k i r a n
किरमिच,k i r m i c
किराया,k i r aa y aa
किरायेदार,k i r aa y e d aa r
किलकारी,k i l k aa r ii
क़िला,q i l aa
क़िलाबंदी,q i l aa b a n d ii
किलो,k i l o
किलोग्राम,k i l o g r aa m
किलोमीटर,k i l o m ii tt a r
किलोलीटर,k i l o l ii tt a r
किलोवाट,k i l o v aa tt
किवाड़,k i v aa rr
किशमिश,k i sh m i sh
किशोर,k i sh o r
किशोरावस्था,k i sh o r aa v a s th aa
किश्त,k i sh t
किश्ती,k i sh t ii
किस,k i s
किसान,k i s aa n
किसानी,k i s aa n ii
किसी,k i s ii
किसे,k i s e
क़िस्त,q i s t
क़िस्म,q i s m
क़िस्मत,q i s m a t
क़िस्सा,q i s s aa
की,k ii
कीचड़,k ii c a rr
कीजिए,k ii j i y e
कीटाणु,k ii tt aa n u
कीड़ा,k ii rr aa
कीड़े-मकोड़े,k ii rr e m a k o rr e
क़ीमत,q ii m a t
क़ीमती,q ii m t ii
क़ीमा,q ii m aa
कीर्तन,k i r t a n
कील,k ii l
कीली,k ii l ii
कुँआरा,k u ~ aa r aa
कुँआरी,k u ~ aa r ii
कुंजड़ा,k u u ~ j rr aa
कुंजी,k u n j ii
कुंड,k u n dd
कुंडल,k u n dd a l
कुंडली,k u n dd a l ii
कुंतल,k u n t a l
कुंडा,k u n dd aa
कुँवारा,k u ~ v aa r aa
कु-,
कुचलना,k u c a l n aa
कुछ,k u ch
कुटिया,k u tt i y aa
कुटीर,k u tt ii r
कुटुंब,k u tt u m b
कुढ़न,k u rrh a n
कुढ़ना,k u rrh a n aa
कुतरना,k u t a rr n aa
कुतिया,k u t i y aa
कुत्ता,k u t t aa
कुदान,k u d aa n
कुदाल,k u d aa l
कुनकुना,k u n k u n aa
कुनैन,k u n E n
कुपात्र,k u p aa t r a
कुप्पा,k u p p aa
कुबड़ा,k u b rr aa
कुमारी,k u m aa r ii
कुम्हड़ा,k u m h rr aa
कुम्हलाना,k u m h l aa n aa
कुम्हार,k u m h aa r
कुरता,k u r t aa
कुरती,k u r t ii
क़ुरबान,q u r b aa n
क़ुरबानी,q u r b aa n ii
कुरसी,k u r s ii
क़ुरान,q u r aa n
कुरुप,k u r uu p
कुर्क,k u r k
कुर्ता,
कुरेदना,k u r e d n aa
कुल,k u l
कुल,k u l
कुलकुलाना,k u l k u l aa n aa
कुलपति,k u l p a t i
कुली,k u l ii
कुलीन,k u l ii n
कुलफ़ी,k u l f ii
कुल्ला,k u l l aa
कुल्हाड़ा,k u l h aa rr aa
कुशल,k u sh a l
कुशल,k u sh a l
कुशलता,
कुशलपूर्वक,k u sh a l p uu r v a k
कुश्ती,k u sh t ii
क़ुसूर,q u s uu r
कुहनी,k u h n ii
कुहरा,k u h r a
कूक,k uu k
कूकना,k uu k n aa
कूच,k uu c
कूचा,k uu c aa
कूची,k uu c ii
कूटना,k uu tt n aa
कूड़ा,k uu rr aa
कूद,k uu d
कूदना,k uu d n aa
कूपन,k uu p a n
कूबड़,k uu b a rr
कृतघ्न,k r i t a gh n a
कृतघ्नता,k r i t a gh n a t aa
कृतज्ञ,k r i t a g y a ~
कृतज्ञता,k r i t a g y a ~ t a
कृतार्थ,k r i t aa r th a
कृति,k r i t i
कृत्रिम,k r i t r i m
कृत्रिमता,k r i t r i m t aa
कृपया,k r i p a y aa
कृपा,k r i p aa
कृपापूर्ण,k r i p aa p uu r n a
कृपालु,k r i p aa l u
कृषक,k r i sh a k
कृषि,k r i sh i
केंद्र,k e n d r a
केन्द्रीत,k e n d r i t
केन्द्रीय,k e n d r ii y
के,k e
केक,k e k
केकड़ा,k e k rr aa
केतली,k e t l ii
केला,k e l aa
केवल,k e v a l
केश,k e sh
केस,k e s
केसर,k e s a r
कैंप,k E m p
कैंसर,k E n s a r
क़ै,q E
क़ैद,q E d
क़ैदखाना,q E d x aa n aa
क़ैदी,q E d ii
कैमरा,k E m r aa
कैलंडर,k E l a n dd a r
कैश,k E sh
क़ैसा,k E s aa
क़ैसे,k E s e
को,k o
कोई,k o ii
कोट,k o tt
कोट,k o tt
कोटा,k o tt aa
कोटि,k o tt i
कोटि,k o tt i
कोटी,k o tt ii
कोठा,k o tth aa
कोठी,k o tth ii
कोड़ा,k o rr aa
कोड़ी,k o rr ii
कोढ़,k o rrh
कोढ़ी,k o rrh ii
कोतवाल,k o t v aa l
कोतवाली,k o t v aa l ii
कोना,k o n aa
कोफ़्ता,k o f t aa
कोमल,k o m a l
कोमलता,k o m a l t aa
कोयल,k o y a l
कोयला,k o y l aa
कोर,k o r
कोर-कसर,k o r k o s a r
कोरम,k o r a m
कोरस,k o r a s
कोरा,k o r aa
कोर्ट,k o r tt
कोर्ट-मार्शल,k o r tt m aa r sh a l
कोर्स,k o r s a
कोलाहल,k o l aa h a l
कोल्हू,k o l h uu
कोश,k o sh
कोशिश,k o sh i sh
कोष,k o sh
कोषागार,k o sh aa g aa r
कोषाध्यक्ष,k o sh aa dh y a k sh a
कोष्ठक,k o sh tth a k
कोस,k o s
कोसना,k o s n aa
कोहनी,k o h n ii
कोहरा,k o h r aa
कौंसिल,k O n s i l
कौआ,k O aa
कौड़ी,k O rr ii
कौन,k O n
क़ौम,q O m
क़ौमी,q O m i
कौर,k O r
क़ौल,q O l
कौशल,k O sh a l
क्या,k y aa
क्यारी,k y aa r ii
क्यू,k y uu
क्रम,k r a m
क्रमबध,k r a m b a d dh a
क्रमसंख्या,k r a m s a n kh y aa
क्रमानुसार,k r a m aa n u s aa r
क्रांति,k r aa n t i
क्रांतिकारी,k r aa n t i k aa r ii
क्रिकेट,k r i k e tt
क्रिया,k r i y aa
क्रियाशील,k r i y aa sh ii l
क्रिसमस,k r i s m a s
क्रिम,k r ii m
क्रुद्ध,k r u d dh a
क्रेन,k r e n
क्रोध,k r o dh
क्रोधी,k r o dh ii
क्लब,k l a b
क्लर्क,k l a r k
क्लर्की,k l a r k ii
क्लॉक,k l aa k
क्लास,k l aa s
क्लिप,k l i p
क्लेश,k l e sh
क्वार्टर,k v a r tt a r
क्विंटल,k v i n tt a l
क्षण,k sh a n
क्षणिक,k sh a n i k
क्षति,k sh a t i
क्षत्रिय,k sh a t r i y a
क्षमता,k sh a m t aa
क्षमा,k sh a m aa
क्षीण,k sh ii n
क्षुद्र,k sh u d r a
क्षुद्रता,k sh u d r a t aa
क्षुब्ध,k sh u b dh a
क्षेत्र,k sh e t r a
क्षेत्रफल,k sh e t r a ph a l
क्षेत्रीय,k sh e t r ii y
क्षोभ,k sh o bh
खंगालना,kh a ~ g aa l n aa
खंजर,x a n j a r
खंड,kh a n dd
खंडन,kh a n dd a n
खँडहर,kh a ~ dd h a r
खंडित,kh a n dd i t
खंदक़,x a n d a q
खंभा,kh a m bh aa
खखार,kh a kh aa r
खखारना,kh a kh aa r n aa
खगोल,kh a g o l
खचाखच,kh a c aa kh a c
ख़च्चर,x a c c a r
ख़जाना,x a z aa n aa
ख़जानची,x a z aa n c ii
खजूर,kh a j uu r
खट,kh a tt
खटकना,kh a tt a k n aa
खटका,kh a tt k aa
खटखट,kh a tt kh a tt
खटखटाना,kh a tt kh a tt aa n aa
खटपट,kh a tt p a tt
खटमल,kh a tt m a l
खटाई,kh a tt E
खटास,
खट्टा,kh a tt tt aa
खट्टा-मीठा,kh a tt tt aa m ii tth aa
खड़कना,kh a rr a k n aa
खड़काना,kh a rr k aa n aa
खड़खड़ाहट,kh a rr kh a rr aa h a tt
खड़ा,kh a rr aa
खड़ा,kh a rr aa
खड़िया,kh a rr i y aa
खड्ड,kh a dd dd a
खत,x a t
खतम,x a t a m
खतरनाक,x a t a r n aa k
खतरा,x a t r aa
खत्म,x a t m
खदेड़ना,x a d e rr n aa
खद्दर,kh a d d a r
खनक,kh a n a k
खनकना,kh a n a k n aa
खनकाना,kh a n k aa n aa
खनिज,kh a n i j
खपड़ा,kh a p rr aa
खपड़ैल,kh a p rr E l
खपत,kh a p a t
खपना,kh a p n aa
खपाना,kh a p aa n aa
खबर,x a b a r
खबरदार,x a b a r d a r
खबरदारी,x a b a r d aa r ii
खब्द,x a b t
खब्दी,x a b t ii
खमीर,x a m ii r
खमीरा,x a m ii r a
खयाल,x a y aa l
खयाली,x a y aa l ii
खरगोश,x a r g o sh
ख़रच,
खरबूजा,kh a r b uu j aa
खरा,kh a r aa
खरापन,kh a r aa p a n
ख़राब,x a r aa b
ख़राबी,x a r aa b ii
खरी,kh a r ii
ख़रीद,x a r ii d
ख़रीदना,x a r ii d n aa
ख़रीदार,x a r ii d aa r
खरीदारी,x a r ii d aa r ii
ख़र्च,x a r c
ख़र्चा,x a r c aa
ख़र्चीला,x a r c ii l aa
खर्राटा,kh a r r aa tt aa
खलना,kh a l n aa
खलबली,kh a l b a l ii
खलियान,kh a l i y aa n
खली,kh a l ii
ख़स,x a s
ख़सरा,x a s r aa
खसोटना,kh a s o tt n aa
ख़स्ता,x a s t aa
खाई,kh E
खाऊ,kh O
ख़ाक,x aa k
ख़ाका,x aa k aa
ख़ाकी,x aa k ii
खाज,kh aa j
खाट,kh aa tt
खाट-खटोला,kh aa tt kh a tt o l aa
खाड़ी,kh aa rr ii
खाता,kh aa t aa
ख़ातिर,x aa t i r
ख़ातिरदारी,x aa t i r d aa r ii
खाद,kh aa d
खादी,kh aa d ii
खान,kh aa n
ख़ानदान,x aa n d aa n
ख़ानदानी,x aa n d aa n ii
खानपान,kh aa n p aa n
ख़ानसामा,x aa n s aa m aa
खाना,kh aa n aa
ख़ाना,x aa n aa
ख़ाना-तलाशी,x aa n aa t a l aa sh ii
ख़ामोश,x aa m o sh
ख़ामोशी,x aa m o sh ii
खारा,kh aa r aa
ख़ारिज,x aa r i j
ख़ारिश,x aa r i sh
खारी,kh aa r ii
खाल,kh aa l
ख़ालिस,x aa l i s
ख़ाली,x aa l ii
ख़ास,x aa s
खाहमखाह,
खाहिश,
खिचड़ी,kh i c rr ii
ख़िजाब,x i z aa b
खिझाना,kh i jh aa n aa
खिड़की,kh i rr k ii
खिदमत,x i d m a t
खिन्न,kh i n n a
खिलखिलाना,kh i l kh i l aa n aa
खिलना,kh i l n aa
खिलवाड़,kh i l v aa rr
खिलाड़ी,kh i l aa rr ii
खिलाना,kh i l aa n aa
ख़िलाफ़,x i l aa f
खिलौना,kh i l aa u n aa
खिल्ली,kh i l l ii
खिसकना,kh i s a k n aa
खिसकाना,kh i s k aa n aa
खीसयाना,kh i s i y aa n aa
खींचातानी,kh ii c aa t aa n ii
खीझ,kh ii jh
खीझना,kh ii jh n aa
खीरा,kh ii r aa
खीस,kh ii s
खुजलाना,kh u j l aa n aa
खुजली,kh u j l ii
खुद,x u d 
खुद,x u d
खुदकुशी,x u d k u sh ii
खुदना,kh u d n aa
खुदमुख्तार,x u d m u x t aa r
खुदरा,kh u d r aa
खुदवाना,kh u d v aa n aa
खुदा,x u d aa
खुदाई,kh u d E
खुफ़िया,x u f i y aa
खुर,kh u r
खुरचन,kh u r c a n
खुरचना,kh u r a c n aa
खुरदरा,kh u r d a r aa
खुरपा,kh u r p aa
ख़ुराक,x u r aa k
खुराफ़ात,x u r aa f aa t
खुराफ़ाती,x u r aa f aa t ii
खुर्दबीन,x u r d b ii n
खुर्राट,x u r r aa tt
खुलना,kh u l n aa
खुला,kh u l aa
खुल्लम-खुल्ला,kh u l l a m kh u l l aa
खुश,x u sh
ख़ुश-,x u sh 
ख़ुशक़िस्मती,x u sh q i s m a t ii
ख़ुशख़बरी,x u sh x a b r ii
ख़ुशदिल,x u sh d i l
ख़ुशबू,x u sh b uu
ख़ुशबूदार,x u sh b uu d aa r
ख़ुशहाल,x u sh h aa l
ख़ुशहाली,x u sh h aa l ii
खुशामद,x u sh aa m a d
खुशामदी,kh u sh aa m d ii
ख़ुशी,x u sh ii
ख़ुश्क,x u sh k
खुसुर-पुसुर,kh u s u r p u s u r
खून,x uu n
ख़ून-पसीना,x uu n p a s ii n aa
ख़ूनी,x uu n ii
ख़ुब,x uu b
ख़ूबसूरत,x uu b s uu r a t
ख़ूबसूरती,x uu b s uu r t ii
ख़ूराक,x uu r aa k
खेत,kh e t
खेतिहर,kh e t i h a r
खेती,kh e t ii
खेती-बाड़ी,kh e t ii b aa rr ii
खेद,kh e d
खेदजनक,kh e d j a n a k
खेप,kh e p
ख़ेमा,x e m aa
खेल,kh e l
खेल-कूद,kh e l k uu d
खेलना,kh e l n aa
खैर,x E r
खैरात,x E r aa t
ख़ैराती,x E r aa t ii
खैरियत,x E r ii y a t
खोखला,kh o kh l aa
खोज,kh o j
खोजना,kh o j n aa
खोजी,kh o j ii
खोट,kh o tt
खोटा,kh o tt aa
खोदना,kh o d n aa
खोना,kh o n aa
खोन्चा,kh o n c aa
खोपड़ी,kh o p rr ii
खोया,kh o y aa
खोलना,kh o l n aa
ख़ौफ़,x O f
खौलना,kh O l n aa
खौलाना,kh O l aa n aa
ख्याति,kh y aa t i
ख्यांल,x y aa l
ख्वाब,x v aa b
ख़्वाहमख़्वाह,x v aa h m a x v aa h
ख़्वाहिश,x v aa h i sh
गंगा,g a ng g aa
गंगा-जमनी,g a ng g aa j a m n ii
गंजा,g a ng j aa
गँठ-,
गँठकटा,g a ~ tth k a tt aa
गँठजोड़,g a ~ tth j o rr
गँठबंधन,g a ~ tth b a n dh a n
गँडासा,g a ~ dd aa s aa
गँडेरी,g a ~ dd e r ii
गंद,g a n d
गंदगी,g a n d g ii
गंदला,g a ~ d l aa
गंदा,g a n d aa
गंध,g a n dh
गंधक,g a n dh a k
गंभीर,g a m bh ii r
गंभीरता,g a m bh ii r t aa
गँवाना,g a ~ v aa n aa
गँवार,g a ~ v aa r
गँवारु,g a ~ v aa r uu
गई,g Ei
गऊ,g Ou
गगन,g a g a n
गगरा,g a g r aa
गज़,g a z
